Couqley Gemayzeh,,,,,,,,,,,,,,,
Complete Report,,,,,,,,,,,,,,,
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 1 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Branch: Couqley Gemayzeh,,,,,,,,,,,,,,,
Division: Alcoholic Beverages,,,,,,,,,,,,,,,
Group: Apero,,,,,,,,,,,,,,,
ALMAZA AP,2.00,6.31,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,6.31,,,11.47
Carafe Bordeaux Superieur AP,2.00,27.03,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,27.03,,,49.18
Margarita AP,4.00,21.62,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,21.62,,,39.34
Apero,8.00,54.96,,0.00,0.00,,0.00,0.00,0.00,0.00,8.00,54.96,,,100.00
Group: Beers,,,,,,,,,,,,,,,
Almaza,43.00,193.70,,0.00,0.00,,0.00,0.00,0.00,0.00,43.00,193.70,,,54.78
Almaza Light,12.00,54.06,,0.00,0.00,,0.00,0.00,0.00,0.00,12.00,54.06,,,15.29
Draft Elmir IPA,1.00,7.66,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,7.66,,,2.17
Elmir IPA,10.00,76.58,,0.00,0.00,,0.00,0.00,0.00,0.00,10.00,76.58,,,21.66
Elmir Pilsner,4.00,21.62,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,21.62,,,6.11
Beers,70.00,353.62,,0.00,0.00,,0.00,0.00,0.00,0.00,70.00,353.62,,,86.55
Group: Cocktails,,,,,,,,,,,,,,,
Amaretto Sour,2.00,19.82,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,19.82,,,2.14
Aperol De Provence,2.00,23.42,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,23.42,,,2.52
Bloody Mary Vodka,5.00,49.55,,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,49.55,,,5.34
Boulevardier,2.00,16.22,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,16.22,,,1.75
Cosmopolitan,2.00,19.82,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,19.82,,,2.14
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 2 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
French 75,2.00,16.22,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,16.22,,,1.75
Gin Basil,22.00,218.02,,0.00,0.00,,0.00,0.00,0.00,0.00,22.00,218.02,,,23.50
Gin Martini,1.00,9.91,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,9.91,,,1.07
Granny Smith Vodka,1.00,9.91,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,9.91,,,1.07
Hugo,4.00,46.85,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,46.85,,,5.05
Margarita,11.00,109.01,,0.00,0.00,,0.00,0.00,0.00,0.00,11.00,109.01,,,11.75
Mojito Rum,1.00,9.91,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,9.91,,,1.07
Mules,2.00,19.82,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,19.82,,,2.14
Negroni,3.00,24.32,,0.00,0.00,,0.00,0.00,0.00,0.00,3.00,24.32,,,2.62
Not A Negroni,2.00,23.42,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,23.42,,,2.52
Off the menu Cocktail,3.00,27.03,,0.00,0.00,,0.00,0.00,0.00,0.00,3.00,27.03,,,2.91
Old Fashioned,2.00,21.62,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,21.62,,,2.33
Paloma Tequila,5.00,54.05,,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,54.05,,,5.83
Passion Fruit Martini,8.00,86.49,,0.00,0.00,,0.00,0.00,0.00,0.00,8.00,86.49,,,9.32
Rusty Nail,2.00,16.22,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,16.22,,,1.75
Spritz,6.00,70.27,,0.00,0.00,,0.00,0.00,0.00,0.00,6.00,70.27,,,7.57
