Couqley Gemayzeh,,,,,,,,,,,,,,,,,
Menu Engineering WorkSheet,,,,,,,,,,,,,,,,,
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 1 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
 Category : Restaurant Menu,,,,,,,,,,,,,,,,,
Group: Apero,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
ALMAZA AP,2.00,0.01,%,0.92,3.15,,2.24,1.83,6.31,4.47,3.15,Low,Low,,Dog,,Tables
Carafe Bordeaux Superieur AP,2.00,0.01,%,4.69,13.51,,8.83,9.38,27.03,17.65,13.51,High,Low,,Challenge,,Tables
Gin Basil AP,6.00,0.02,%,0.41,5.41,,5.00,2.46,32.43,29.97,5.41,Low,Low,,Dog,,Tables
Margarita AP,7.00,0.03,%,1.79,5.41,,3.61,12.56,37.84,25.27,5.41,Low,Low,,Dog,,Tables
Martini Prosecco GLS AP,2.00,0.01,%,0.67,4.95,,4.29,1.33,9.91,8.58,4.95,Low,Low,,Dog,,Tables
Group: Beers,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Almaza,78.00,0.31,%,0.92,4.50,,3.59,71.50,351.38,279.88,4.50,Low,Low,,Dog,,Tables
Almaza Light,24.00,0.10,%,0.92,4.50,,3.58,22.08,108.12,86.04,4.50,Low,Low,,Dog,,Tables
Draft Elmir IPA,1.00,0.00,%,0.94,7.66,,6.72,0.94,7.66,6.72,7.66,High,Low,,Challenge,,Tables
Elmir IPA,10.00,0.04,%,1.80,7.66,,5.86,18.00,76.58,58.58,7.66,Low,Low,,Dog,,Tables
Elmir Pilsner,4.00,0.02,%,1.80,5.41,,3.61,7.20,21.62,14.42,5.41,Low,Low,,Dog,,Tables
Group: Boeuf,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Bistro Burger,179.00,0.72,%,5.18,17.12,,11.94,927.30,"3,063.94","2,136.64",17.12,High,High,,Star,,Tables
Cote De Boeuf N,45.00,0.18,%,44.45,117.12,,72.67,"2,000.08","5,270.27","3,270.18",117.12,High,Low,,Challenge,,Tables
Entrecote MB2,116.00,0.46,%,17.48,46.85,,29.37,"2,027.32","5,434.25","3,406.93",46.85,High,High,,Star,,Tables
Filet De Boeuf Prime,189.00,0.76,%,13.01,42.34,,29.33,"2,459.15","8,002.67","5,543.52",42.34,High,High,,Star,,Tables
Large Couqley Steak Frites,"1,058.00",4.23,%,8.35,32.88,,24.53,"8,836.18","34,790.20","25,954.02",32.88,High,High,,Star,,Tables
Large Mushroom Steak Frites,115.00,0.46,%,7.86,35.14,,27.28,903.46,"4,040.53","3,137.07",35.14,High,High,,Star,,Tables
Regular Couqley Steak Frites,"1,852.00",7.40,%,6.35,25.38,,19.03,"11,753.74","46,086.32","34,332.59",26.13,High,High,,Star,,Tables
Regular Mushroom Steak Frites,215.00,0.86,%,5.81,28.38,,22.57,"1,249.30","5,704.01","4,454.71",28.38,High,High,,Star,,Tables
Steak Tartare,85.00,0.34,%,4.97,19.82,,14.85,422.21,"1,684.70","1,262.49",19.82,High,High,,Star,,Tables
Truffle Brie Burger,88.00,0.35,%,6.82,22.52,,15.70,600.04,"1,982.02","1,381.98",22.52,High,High,,Star,,Tables
Group: By the Glass & Carafe,,,,,,,,,,,,,,,,,
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 2 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Menu : Tables,,,,,,,,,,,,,,,,,
Carafe Blanc de Blanc,29.00,0.12,%,2.73,13.51,,10.78,79.17,391.91,312.74,13.51,High,Low,,Challenge,,Tables
Carafe Bordeaux Superieur,62.00,0.25,%,4.69,22.52,,17.84,290.62,"1,396.43","1,105.80",22.52,High,Low,,Challenge,,Tables
Carafe Entre 2 Mers White,9.00,0.04,%,8.11,24.32,,16.21,72.99,218.92,145.93,24.32,High,Low,,Challenge,,Tables
Carafe House Wine Red,82.75,0.33,%,3.33,16.22,,12.88,275.83,"1,341.88","1,066.05",16.22,High,Low,,Challenge,,Tables
